week_of_vaccination,partially_vaccinated,fully_vaccinated,boosted,annotation,etl_timestamp
11/14/2021 12:00:00 AM,8879,7151,29020,,2022-10-31 11:00:01
12/12/2021 12:00:00 AM,13294,9677,36616,,2022-10-31 11:00:01
7/10/2022 12:00:00 AM,2113,1416,1983,,2022-10-31 11:00:01
10/31/2021 12:00:00 AM,7294,8333,27155,,2022-10-31 11:00:01
7/25/2021 12:00:00 AM,1411,7688,69,,2022-10-31 11:00:01
10/10/2021 12:00:00 AM,3523,9177,13361,,2022-10-31 11:00:01
6/6/2021 12:00:00 AM,2058,28103,80,,2022-10-31 11:00:01
5/29/2022 12:00:00 AM,942,1198,2079,,2022-10-31 11:00:01
10/17/2021 12:00:00 AM,4105,8226,13841,,2022-10-31 11:00:01
9/26/2021 12:00:00 AM,3170,10281,10580,,2022-10-31 11:00:01
11/29/2020 12:00:00 AM,5,7,,"Null Value Suppressed, Count <6",2022-10-31 11:00:01
5/15/2022 12:00:00 AM,1418,1708,2551,,2022-10-31 11:00:01
4/25/2021 12:00:00 AM,5920,46817,275,,2022-10-31 11:00:01
4/17/2022 12:00:00 AM,1429,2030,2652,,2022-10-31 11:00:01
5/9/2021 12:00:00 AM,5722,54977,161,,2022-10-31 11:00:01
2/28/2021 12:00:00 AM,6622,25337,61,,2022-10-31 11:00:01
7/17/2022 12:00:00 AM,2498,1861,1988,,2022-10-31 11:00:01
5/1/2022 12:00:00 AM,1176,1614,2209,,2022-10-31 11:00:01
1/17/2021 12:00:00 AM,896,9722,,"Null Value Suppressed, Count <6",2022-10-31 11:00:01
8/7/2022 12:00:00 AM,531,500,441,,2022-10-31 11:00:01
3/14/2021 12:00:00 AM,6169,35308,93,,2022-10-31 11:00:01
4/11/2021 12:00:00 AM,7958,60634,210,,2022-10-31 11:00:01
2/6/2022 12:00:00 AM,3972,9203,7389,,2022-10-31 11:00:01
12/27/2020 12:00:00 AM,776,47,,"Null Value Suppressed, Count <6",2022-10-31 11:00:01
8/8/2021 12:00:00 AM,1999,9721,220,,2022-10-31 11:00:01
2/27/2022 12:00:00 AM,1977,4475,4082,,2022-10-31 11:00:01
3/28/2021 12:00:00 AM,6643,91579,301,,2022-10-31 11:00:01
4/10/2022 12:00:00 AM,1716,2292,3131,,2022-10-31 11:00:01
4/4/2021 12:00:00 AM,7459,98692,239,,2022-10-31 11:00:01
2/13/2022 12:00:00 AM,3056,7054,5505,,2022-10-31 11:00:01
11/28/2021 12:00:00 AM,11088,14076,33618,,2022-10-31 11:00:01
2/14/2021 12:00:00 AM,2227,20442,37,,2022-10-31 11:00:01
6/5/2022 12:00:00 AM,1124,1301,2184,,2022-10-31 11:00:01
1/10/2021 12:00:00 AM,1259,9062,9,,2022-10-31 11:00:01
9/12/2021 12:00:00 AM,2095,11751,1915,,2022-10-31 11:00:01
12/20/2020 12:00:00 AM,233,14,,"Null Value Suppressed, Count <6",2022-10-31 11:00:01
8/1/2021 12:00:00 AM,1867,7772,70,,2022-10-31 11:00:01
1/30/2022 12:00:00 AM,4461,9993,9654,,2022-10-31 11:00:01
3/13/2022 12:00:00 AM,1335,2518,3049,,2022-10-31 11:00:01
